CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TPE100,02-2159,2015-08-24,2015-08-11,13
TPE100,02-2159,2015-09-18,2015-08-24,25
TPE100,02-2159,2015-11-02,2015-09-18,45
TPE100,02-2159,2015-11-03,2015-11-02,1
TPE100,02-2159,2015-11-18,2015-11-03,15
TPE100,02-2159,2015-12-18,2015-11-18,30
TPE100,02-2159,2016-02-09,2015-12-18,53
TPE100,02-2159,2016-03-09,2016-02-09,29
TPE100,02-2159,2016-03-25,2016-03-09,16
TPE100,02-2159,2016-04-26,2016-03-25,32
TPE100,02-2159,2016-06-06,2016-04-26,41
TPE100,02-2159,2016-06-09,2016-06-06,3
