CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TRI125,02-7030,2016-03-08,2016-03-02,6
TRI125,02-7030,2016-03-31,2016-03-08,23
TRI125,02-7030,2016-04-22,2016-03-31,22
TRI125,02-7030,2016-05-23,2016-04-22,31
TRI125,02-7030,2016-07-01,2016-05-23,39
TRI125,02-7030,2016-07-18,2016-07-01,17
TRI125,02-7030,2016-08-31,2016-07-18,44
TRI125,02-7030,2016-09-13,2016-08-31,13
TRI125,02-7030,2016-10-04,2016-09-13,21
TRI125,02-7030,2016-11-03,2016-10-04,30
TRI125,02-7030,2016-11-30,2016-11-03,27
TRI125,02-7030,2016-12-05,2016-11-30,5
TRI125,02-7030,2017-01-09,2016-12-05,35
TRI125,02-7030,2017-01-31,2017-01-09,22
