CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TUR117,10-1158,2015-05-05,2015-05-04,1
TUR117,10-1158,2015-05-13,2015-05-05,8
TUR117,10-1158,2015-06-12,2015-05-13,30
TUR117,10-1158,2015-06-15,2015-06-12,3
TUR117,10-1158,2015-06-23,2015-06-15,8
TUR117,10-1158,2015-07-09,2015-06-23,16
TUR117,10-1158,2015-07-13,2015-07-09,4
TUR117,10-1158,2015-07-20,2015-07-13,7
TUR117,10-1158,2015-08-05,2015-07-20,16
TUR117,10-1158,2015-08-10,2015-08-05,5
TUR117,10-1158,2015-08-19,2015-08-10,9
TUR117,10-1158,2015-08-24,2015-08-19,5
TUR117,10-1158,2015-08-26,2015-08-24,2
TUR117,10-1158,2015-09-08,2015-08-26,13
TUR117,10-1158,2015-09-16,2015-09-08,8
TUR117,10-1158,2015-09-21,2015-09-16,5
TUR117,10-1158,2015-09-22,2015-09-21,1
TUR117,10-1158,2015-09-28,2015-09-22,6
TUR117,10-1158,2015-10-26,2015-09-28,28
TUR117,10-1158,2015-11-04,2015-10-26,9
TUR117,10-1158,2015-11-06,2015-11-04,2
TUR117,10-1158,2015-11-09,2015-11-06,3
