CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
VIL169,02-4745,2015-06-29,2015-05-29,31
VIL169,02-4745,2015-06-30,2015-06-29,1
VIL169,02-4745,2015-07-20,2015-06-30,20
VIL169,02-4745,2015-08-19,2015-07-20,30
VIL169,02-4745,2015-09-10,2015-08-19,22
VIL169,02-4745,2015-10-27,2015-09-10,47
VIL169,02-4745,2015-11-25,2015-10-27,29
VIL169,02-4745,2015-12-14,2015-11-25,19
VIL169,02-4745,2015-12-31,2015-12-14,17
VIL169,02-4745,2016-06-15,2015-12-31,167
VIL169,02-4745,2016-07-01,2016-06-15,16
VIL169,02-4745,2016-07-05,2016-07-01,4
