CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WAT109,SPC1416,2016-03-01,2016-02-17,13
WAT109,SPC1416,2016-04-06,2016-03-01,36
WAT109,SPC1416,2016-05-05,2016-04-06,29
WAT109,SPC1416,2016-05-06,2016-05-05,1
WAT109,SPC1416,2016-05-16,2016-05-06,10
WAT109,SPC1416,2016-05-25,2016-05-16,9
WAT109,SPC1416,2017-07-19,2016-05-25,420
WAT109,SPC1416,2017-07-27,2017-07-19,8
WAT109,SPC1416,2017-08-02,2017-07-27,6
WAT109,SPC1416,2017-08-10,2017-08-02,8
WAT109,SPC1416,2017-08-11,2017-08-10,1
WAT109,SPC1416,2017-08-21,2017-08-11,10
WAT109,SPC1416,2017-09-06,2017-08-21,16
WAT109,SPC1416,2017-09-19,2017-09-06,13
WAT109,SPC1416,2017-09-27,2017-09-19,8
WAT109,SPC1416,2017-10-10,2017-09-27,13
WAT109,SPC1416,2017-10-20,2017-10-10,10
WAT109,SPC1416,2017-10-24,2017-10-20,4
