CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WAT120,02-2974,2016-03-07,2015-09-30,159
WAT120,02-2974,2016-03-11,2016-03-07,4
WAT120,02-2974,2016-03-29,2016-03-11,18
WAT120,02-2974,2016-04-19,2016-03-29,21
WAT120,02-2974,2016-05-19,2016-04-19,30
WAT120,02-2974,2016-06-10,2016-05-19,22
WAT120,02-2974,2016-06-14,2016-06-10,4
WAT120,02-2974,2016-07-05,2016-06-14,21
WAT120,02-2974,2016-07-11,2016-07-05,6
WAT120,02-2974,2016-08-08,2016-07-11,28
WAT120,02-2974,2017-04-11,2016-08-08,246
WAT120,02-2974,2017-04-25,2017-04-11,14
WAT120,02-2974,2017-05-02,2017-04-25,7
WAT120,02-2974,2017-05-08,2017-05-02,6
WAT120,02-2974,2017-06-07,2017-05-08,30
WAT120,02-2974,2017-06-23,2017-06-07,16
WAT120,02-2974,2017-07-24,2017-06-23,31
WAT120,02-2974,2017-10-20,2017-07-24,88
