CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WES180,02-0599,2016-03-14,2016-02-09,34
WES180,02-0599,2016-03-29,2016-03-14,15
WES180,02-0599,2016-05-05,2016-03-29,37
WES180,02-0599,2016-05-25,2016-05-05,20
WES180,02-0599,2016-06-13,2016-05-25,19
WES180,02-0599,2016-08-02,2016-06-13,50
WES180,02-0599,2016-08-25,2016-08-02,23
WES180,02-0599,2016-09-15,2016-08-25,21
WES180,02-0599,2016-10-04,2016-09-15,19
WES180,02-0599,2016-11-03,2016-10-04,30
WES180,02-0599,2016-12-01,2016-11-03,28
WES180,02-0599,2017-01-09,2016-12-01,39
WES180,02-0599,2017-01-17,2017-01-09,8
WES180,02-0599,2017-02-28,2017-01-17,42
WES180,02-0599,2017-04-04,2017-02-28,35
