CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WIN136,02-6691,2016-06-17,2016-05-18,30
WIN136,02-6691,2016-07-11,2016-06-17,24
WIN136,02-6691,2016-08-10,2016-07-11,30
WIN136,02-6691,2016-08-16,2016-08-10,6
WIN136,02-6691,2016-09-15,2016-08-16,30
WIN136,02-6691,2016-11-15,2016-09-15,61
WIN136,02-6691,2017-01-10,2016-11-15,56
WIN136,02-6691,2017-01-27,2017-01-10,17
WIN136,02-6691,2017-02-13,2017-01-27,17
WIN136,02-6691,2017-02-14,2017-02-13,1
WIN136,02-6691,2017-03-14,2017-02-14,28
WIN136,02-6691,2017-04-12,2017-03-14,29
