CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ZZZ015,01-2702,2015-05-05,2015-05-04,1
ZZZ015,01-2702,2015-05-06,2015-05-05,1
ZZZ015,01-2702,2015-05-12,2015-05-06,6
ZZZ015,01-2702,2015-05-13,2015-05-12,1
ZZZ015,01-2702,2015-05-26,2015-05-13,13
ZZZ015,01-2702,2015-06-01,2015-05-26,6
ZZZ015,01-2702,2015-06-02,2015-06-01,1
ZZZ015,01-2702,2015-06-09,2015-06-02,7
ZZZ015,01-2702,2015-08-10,2015-06-09,62
ZZZ015,01-2702,2015-08-12,2015-08-10,2
ZZZ015,01-2702,2015-08-13,2015-08-12,1
ZZZ015,01-2702,2015-08-24,2015-08-13,11
ZZZ015,01-2702,2015-08-25,2015-08-24,1
ZZZ015,01-2702,2015-08-31,2015-08-25,6
ZZZ015,01-2702,2015-09-03,2015-08-31,3
ZZZ015,01-2702,2015-09-08,2015-09-03,5
ZZZ015,01-2702,2015-09-10,2015-09-08,2
ZZZ015,01-2702,2015-09-14,2015-09-10,4
ZZZ015,01-2702,2015-09-16,2015-09-14,2
ZZZ015,01-2702,2015-09-18,2015-09-16,2
ZZZ015,01-2702,2015-09-22,2015-09-18,4
ZZZ015,01-2702,2015-09-24,2015-09-22,2
ZZZ015,01-2702,2015-09-28,2015-09-24,4
ZZZ015,01-2702,2015-10-05,2015-09-28,7
ZZZ015,01-2702,2015-10-07,2015-10-05,2
ZZZ015,01-2702,2015-10-12,2015-10-07,5
ZZZ015,01-2702,2015-10-14,2015-10-12,2
ZZZ015,01-2702,2015-10-19,2015-10-14,5
ZZZ015,01-2702,2015-10-20,2015-10-19,1
ZZZ015,01-2702,2015-10-21,2015-10-20,1
ZZZ015,01-2702,2015-10-26,2015-10-21,5
