CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ACP100,02-7987,2016-07-28,2016-03-08,142
ACP100,02-7987,2016-09-21,2016-07-28,55
ACP100,02-7987,2016-10-01,2016-09-21,10
ACP100,02-7987,2016-11-01,2016-10-01,31
ACP100,02-7987,2016-11-29,2016-11-01,28
ACP100,02-7987,2017-01-03,2016-11-29,35
ACP100,02-7987,2017-01-10,2017-01-03,7
ACP100,02-7987,2017-01-24,2017-01-10,14
ACP100,02-7987,2017-02-17,2017-01-24,24
ACP100,02-7987,2017-03-07,2017-02-17,18
ACP100,02-7987,2017-05-09,2017-03-07,63
ACP100,02-7987,2017-05-26,2017-05-09,17
ACP100,02-7987,2017-06-06,2017-05-26,11
ACP100,02-7987,2017-07-05,2017-06-06,29
ACP100,02-7987,2017-07-31,2017-07-05,26
ACP100,02-7987,2017-08-08,2017-07-31,8
ACP100,02-7987,2017-08-28,2017-08-08,20
ACP100,02-7987,2017-09-06,2017-08-28,9
ACP100,02-7987,2017-10-06,2017-09-06,30
ACP100,02-7987,2017-10-10,2017-10-06,4
ACP100,02-7987,2017-10-27,2017-10-10,17
ACP100,02-7987,2017-10-30,2017-10-27,3
ACP100,02-7987,2017-11-20,2017-10-30,21
ACP100,02-7987,2017-11-27,2017-11-20,7
ACP100,02-7987,2017-12-04,2017-11-27,7
