CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ACT102,09-9732,2015-08-06,2015-07-23,14
ACT102,09-9732,2015-08-12,2015-08-06,6
ACT102,09-9732,2016-01-14,2015-08-12,155
ACT102,09-9732,2016-02-01,2016-01-14,18
ACT102,09-9732,2016-02-11,2016-02-01,10
ACT102,09-9732,2016-02-18,2016-02-11,7
ACT102,09-9732,2016-03-03,2016-02-18,14
ACT102,09-9732,2016-03-10,2016-03-03,7
ACT102,09-9732,2016-03-25,2016-03-10,15
ACT102,09-9732,2016-03-30,2016-03-25,5
ACT102,09-9732,2016-05-20,2016-03-30,51
ACT102,09-9732,2016-09-07,2016-05-20,110
ACT102,09-9732,2016-09-19,2016-09-07,12
ACT102,09-9732,2017-04-19,2016-09-19,212
ACT102,09-9732,2017-05-06,2017-04-19,17
ACT102,09-9732,2017-05-22,2017-05-06,16
