CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AEP100,02-1513,2016-08-02,2016-07-05,28
AEP100,02-1513,2016-09-27,2016-08-02,56
AEP100,02-1513,2016-10-13,2016-09-27,16
AEP100,02-1513,2016-10-19,2016-10-13,6
AEP100,02-1513,2016-10-27,2016-10-19,8
AEP100,02-1513,2016-10-28,2016-10-27,1
AEP100,02-1513,2016-11-25,2016-10-28,28
AEP100,02-1513,2016-11-29,2016-11-25,4
AEP100,02-1513,2016-12-05,2016-11-29,6
AEP100,02-1513,2016-12-06,2016-12-05,1
AEP100,02-1513,2016-12-13,2016-12-06,7
AEP100,02-1513,2016-12-20,2016-12-13,7
AEP100,02-1513,2016-12-22,2016-12-20,2
AEP100,02-1513,2016-12-27,2016-12-22,5
AEP100,02-1513,2016-12-29,2016-12-27,2
AEP100,02-1513,2017-01-04,2016-12-29,6
AEP100,02-1513,2017-01-10,2017-01-04,6
AEP100,02-1513,2017-01-11,2017-01-10,1
AEP100,02-1513,2017-01-13,2017-01-11,2
AEP100,02-1513,2017-01-17,2017-01-13,4
AEP100,02-1513,2017-01-18,2017-01-17,1
AEP100,02-1513,2017-01-20,2017-01-18,2
AEP100,02-1513,2017-01-23,2017-01-20,3
AEP100,02-1513,2017-01-25,2017-01-23,2
AEP100,02-1513,2017-01-27,2017-01-25,2
AEP100,02-1513,2017-01-31,2017-01-27,4
AEP100,02-1513,2017-02-02,2017-01-31,2
AEP100,02-1513,2017-02-08,2017-02-02,6
AEP100,02-1513,2017-02-14,2017-02-08,6
AEP100,02-1513,2017-02-15,2017-02-14,1
AEP100,02-1513,2017-02-16,2017-02-15,1
AEP100,02-1513,2017-02-17,2017-02-16,1
AEP100,02-1513,2017-02-20,2017-02-17,3
AEP100,02-1513,2017-02-23,2017-02-20,3
AEP100,02-1513,2017-02-28,2017-02-23,5
