CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AGH100,02-7121,2015-10-29,2015-10-22,7
AGH100,02-7121,2015-11-12,2015-10-29,14
AGH100,02-7121,2015-12-01,2015-11-12,19
AGH100,02-7121,2015-12-03,2015-12-01,2
AGH100,02-7121,2015-12-22,2015-12-03,19
AGH100,02-7121,2016-01-07,2015-12-22,16
AGH100,02-7121,2016-01-21,2016-01-07,14
AGH100,02-7121,2016-02-18,2016-01-21,28
AGH100,02-7121,2016-03-08,2016-02-18,19
AGH100,02-7121,2016-03-17,2016-03-08,9
AGH100,02-7121,2016-03-29,2016-03-17,12
AGH100,02-7121,2016-04-14,2016-03-29,16
AGH100,02-7121,2016-04-26,2016-04-14,12
AGH100,02-7121,2016-05-12,2016-04-26,16
AGH100,02-7121,2016-06-01,2016-05-12,20
AGH100,02-7121,2016-06-03,2016-06-01,2
AGH100,02-7121,2016-06-09,2016-06-03,6
