CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AND139,02-1412,2015-06-22,2015-05-18,35
AND139,02-1412,2015-08-18,2015-06-22,57
AND139,02-1412,2015-08-31,2015-08-18,13
AND139,02-1412,2015-10-23,2015-08-31,53
AND139,02-1412,2015-11-02,2015-10-23,10
AND139,02-1412,2015-12-03,2015-11-02,31
AND139,02-1412,2015-12-21,2015-12-03,18
AND139,02-1412,2016-01-30,2015-12-21,40
AND139,02-1412,2016-03-01,2016-01-30,31
AND139,02-1412,2016-03-02,2016-03-01,1
AND139,02-1412,2016-05-05,2016-03-02,64
AND139,02-1412,2016-05-24,2016-05-05,19
AND139,02-1412,2016-05-31,2016-05-24,7
AND139,02-1412,2016-08-12,2016-05-31,73
AND139,02-1412,2016-12-02,2016-08-12,112
AND139,02-1412,2016-12-09,2016-12-02,7
AND139,02-1412,2017-02-08,2016-12-09,61
AND139,02-1412,2017-04-11,2017-02-08,62
AND139,02-1412,2017-06-17,2017-04-11,67
AND139,02-1412,2017-08-07,2017-06-17,51
AND139,02-1412,2017-09-06,2017-08-07,30
AND139,02-1412,2017-10-11,2017-09-06,35
AND139,02-1412,2017-10-18,2017-10-11,7
