CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AND139,SPC1140,2015-08-31,2015-08-24,7
AND139,SPC1140,2015-09-08,2015-08-31,8
AND139,SPC1140,2015-09-10,2015-09-08,2
AND139,SPC1140,2015-09-30,2015-09-10,20
AND139,SPC1140,2015-10-01,2015-09-30,1
AND139,SPC1140,2015-10-19,2015-10-01,18
AND139,SPC1140,2015-10-26,2015-10-19,7
AND139,SPC1140,2015-10-31,2015-10-26,5
AND139,SPC1140,2015-11-09,2015-10-31,9
AND139,SPC1140,2017-04-18,2015-11-09,526
AND139,SPC1140,2017-05-10,2017-04-18,22
AND139,SPC1140,2017-05-23,2017-05-10,13
AND139,SPC1140,2017-06-06,2017-05-23,14
AND139,SPC1140,2017-06-08,2017-06-06,2
AND139,SPC1140,2017-06-19,2017-06-08,11
AND139,SPC1140,2017-06-30,2017-06-19,11
AND139,SPC1140,2017-07-24,2017-06-30,24
AND139,SPC1140,2017-07-31,2017-07-24,7
