CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BAR183,02-6889,2015-07-10,2015-06-03,37
BAR183,02-6889,2015-08-17,2015-07-10,38
BAR183,02-6889,2015-08-28,2015-08-17,11
BAR183,02-6889,2015-09-02,2015-08-28,5
BAR183,02-6889,2015-09-18,2015-09-02,16
BAR183,02-6889,2015-10-02,2015-09-18,14
BAR183,02-6889,2015-11-24,2015-10-02,53
BAR183,02-6889,2015-12-30,2015-11-24,36
BAR183,02-6889,2016-02-05,2015-12-30,37
BAR183,02-6889,2016-03-30,2016-02-05,54
BAR183,02-6889,2016-04-29,2016-03-30,30
BAR183,02-6889,2016-05-24,2016-04-29,25
BAR183,02-6889,2016-06-08,2016-05-24,15
BAR183,02-6889,2016-07-08,2016-06-08,30
BAR183,02-6889,2016-08-01,2016-07-08,24
BAR183,02-6889,2016-09-09,2016-08-01,39
BAR183,02-6889,2016-09-21,2016-09-09,12
BAR183,02-6889,2016-11-02,2016-09-21,42
BAR183,02-6889,2016-11-21,2016-11-02,19
BAR183,02-6889,2016-12-07,2016-11-21,16
