CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BAY150,02-1929,2015-12-14,2015-11-04,40
BAY150,02-1929,2015-12-29,2015-12-14,15
BAY150,02-1929,2016-01-25,2015-12-29,27
BAY150,02-1929,2016-02-09,2016-01-25,15
BAY150,02-1929,2016-03-02,2016-02-09,22
BAY150,02-1929,2016-03-22,2016-03-02,20
BAY150,02-1929,2016-04-07,2016-03-22,16
BAY150,02-1929,2016-05-04,2016-04-07,27
BAY150,02-1929,2016-07-07,2016-05-04,64
BAY150,02-1929,2016-07-27,2016-07-07,20
BAY150,02-1929,2016-10-06,2016-07-27,71
BAY150,02-1929,2016-10-20,2016-10-06,14
BAY150,02-1929,2016-11-08,2016-10-20,19
BAY150,02-1929,2016-11-28,2016-11-08,20
BAY150,02-1929,2016-12-21,2016-11-28,23
BAY150,02-1929,2017-01-13,2016-12-21,23
BAY150,02-1929,2017-03-17,2017-01-13,63
BAY150,02-1929,2017-04-05,2017-03-17,19
BAY150,02-1929,2017-04-26,2017-04-05,21
BAY150,02-1929,2017-06-16,2017-04-26,51
BAY150,02-1929,2017-07-18,2017-06-16,32
BAY150,02-1929,2017-08-18,2017-07-18,31
BAY150,02-1929,2017-09-21,2017-08-18,34
