CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEM101,SPC1899,2017-05-22,2017-05-09,13
BEM101,SPC1899,2017-05-30,2017-05-22,8
BEM101,SPC1899,2017-06-05,2017-05-30,6
BEM101,SPC1899,2017-06-12,2017-06-05,7
BEM101,SPC1899,2017-06-22,2017-06-12,10
BEM101,SPC1899,2017-06-26,2017-06-22,4
BEM101,SPC1899,2017-06-27,2017-06-26,1
BEM101,SPC1899,2017-06-30,2017-06-27,3
BEM101,SPC1899,2017-07-10,2017-06-30,10
BEM101,SPC1899,2017-07-18,2017-07-10,8
BEM101,SPC1899,2017-07-24,2017-07-18,6
BEM101,SPC1899,2017-08-07,2017-07-24,14
BEM101,SPC1899,2017-08-11,2017-08-07,4
BEM101,SPC1899,2017-08-21,2017-08-11,10
BEM101,SPC1899,2017-08-23,2017-08-21,2
BEM101,SPC1899,2017-08-31,2017-08-23,8
BEM101,SPC1899,2017-09-05,2017-08-31,5
BEM101,SPC1899,2017-09-13,2017-09-05,8
BEM101,SPC1899,2017-09-15,2017-09-13,2
BEM101,SPC1899,2017-10-30,2017-09-15,45
BEM101,SPC1899,2017-11-06,2017-10-30,7
BEM101,SPC1899,2017-11-10,2017-11-06,4
