CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BER107,10-2720,2016-03-24,2016-03-10,14
BER107,10-2720,2016-05-05,2016-03-24,42
BER107,10-2720,2016-05-26,2016-05-05,21
BER107,10-2720,2016-06-22,2016-05-26,27
BER107,10-2720,2016-07-28,2016-06-22,36
BER107,10-2720,2016-08-04,2016-07-28,7
BER107,10-2720,2016-10-03,2016-08-04,60
BER107,10-2720,2016-11-10,2016-10-03,38
BER107,10-2720,2016-12-22,2016-11-10,42
BER107,10-2720,2017-01-26,2016-12-22,35
BER107,10-2720,2017-03-07,2017-01-26,40
BER107,10-2720,2017-03-30,2017-03-07,23
BER107,10-2720,2017-05-25,2017-03-30,56
BER107,10-2720,2017-06-22,2017-05-25,28
BER107,10-2720,2017-07-27,2017-06-22,35
BER107,10-2720,2017-09-14,2017-07-27,49
