CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEY100,02-2944,2016-09-17,2016-05-25,115
BEY100,02-2944,2016-10-19,2016-09-17,32
BEY100,02-2944,2016-11-22,2016-10-19,34
BEY100,02-2944,2016-12-22,2016-11-22,30
BEY100,02-2944,2017-01-30,2016-12-22,39
BEY100,02-2944,2017-02-23,2017-01-30,24
BEY100,02-2944,2017-03-22,2017-02-23,27
BEY100,02-2944,2017-04-26,2017-03-22,35
BEY100,02-2944,2017-05-15,2017-04-26,19
BEY100,02-2944,2017-06-22,2017-05-15,38
BEY100,02-2944,2017-07-17,2017-06-22,25
BEY100,02-2944,2017-08-23,2017-07-17,37
BEY100,02-2944,2017-10-04,2017-08-23,42
BEY100,02-2944,2017-10-25,2017-10-04,21
BEY100,02-2944,2017-12-08,2017-10-25,44
