CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CHA103,20-8484,2015-06-11,2015-05-14,28
CHA103,20-8484,2015-07-14,2015-06-11,33
CHA103,20-8484,2015-08-13,2015-07-14,30
CHA103,20-8484,2015-09-03,2015-08-13,21
CHA103,20-8484,2015-09-17,2015-09-03,14
CHA103,20-8484,2015-10-06,2015-09-17,19
CHA103,20-8484,2015-10-27,2015-10-06,21
CHA103,20-8484,2015-11-05,2015-10-27,9
CHA103,20-8484,2015-12-03,2015-11-05,28
CHA103,20-8484,2015-12-17,2015-12-03,14
CHA103,20-8484,2015-12-30,2015-12-17,13
CHA103,20-8484,2016-01-12,2015-12-30,13
CHA103,20-8484,2016-01-26,2016-01-12,14
CHA103,20-8484,2016-01-28,2016-01-26,2
CHA103,20-8484,2016-02-17,2016-01-28,20
CHA103,20-8484,2016-02-24,2016-02-17,7
CHA103,20-8484,2016-03-01,2016-02-24,6
CHA103,20-8484,2016-05-10,2016-03-01,70
CHA103,20-8484,2016-07-27,2016-05-10,78
CHA103,20-8484,2016-09-13,2016-07-27,48
CHA103,20-8484,2016-10-25,2016-09-13,42
CHA103,20-8484,2016-11-29,2016-10-25,35
CHA103,20-8484,2017-03-29,2016-11-29,120
CHA103,20-8484,2017-04-25,2017-03-29,27
CHA103,20-8484,2017-05-03,2017-04-25,8
CHA103,20-8484,2017-07-06,2017-05-03,64
CHA103,20-8484,2017-10-09,2017-07-06,95
CHA103,20-8484,2017-10-26,2017-10-09,17
CHA103,20-8484,2017-11-13,2017-10-26,18
CHA103,20-8484,2017-12-12,2017-11-13,29
