CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CIT192,02-6448,2016-03-29,2016-02-12,46
CIT192,02-6448,2016-05-03,2016-03-29,35
CIT192,02-6448,2016-05-27,2016-05-03,24
CIT192,02-6448,2016-06-02,2016-05-27,6
CIT192,02-6448,2016-06-14,2016-06-02,12
CIT192,02-6448,2016-06-21,2016-06-14,7
CIT192,02-6448,2016-06-22,2016-06-21,1
CIT192,02-6448,2016-08-08,2016-06-22,47
CIT192,02-6448,2016-08-22,2016-08-08,14
CIT192,02-6448,2016-09-06,2016-08-22,15
CIT192,02-6448,2016-09-15,2016-09-06,9
CIT192,02-6448,2016-10-01,2016-09-15,16
CIT192,02-6448,2016-10-04,2016-10-01,3
CIT192,02-6448,2016-10-26,2016-10-04,22
CIT192,02-6448,2016-11-01,2016-10-26,6
CIT192,02-6448,2016-11-15,2016-11-01,14
CIT192,02-6448,2017-01-19,2016-11-15,65
CIT192,02-6448,2017-01-25,2017-01-19,6
CIT192,02-6448,2017-01-30,2017-01-25,5
CIT192,02-6448,2017-03-02,2017-01-30,31
CIT192,02-6448,2017-03-15,2017-03-02,13
CIT192,02-6448,2017-03-16,2017-03-15,1
CIT192,02-6448,2017-03-20,2017-03-16,4
CIT192,02-6448,2017-04-20,2017-03-20,31
CIT192,02-6448,2017-04-28,2017-04-20,8
CIT192,02-6448,2017-05-04,2017-04-28,6
CIT192,02-6448,2017-05-16,2017-05-04,12
CIT192,02-6448,2017-06-06,2017-05-16,21
CIT192,02-6448,2017-07-18,2017-06-06,42
CIT192,02-6448,2017-08-10,2017-07-18,23
CIT192,02-6448,2017-09-06,2017-08-10,27
CIT192,02-6448,2017-09-12,2017-09-06,6
CIT192,02-6448,2017-10-06,2017-09-12,24
