CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DAN131,02-2660,2016-04-28,2016-04-22,6
DAN131,02-2660,2016-05-19,2016-04-28,21
DAN131,02-2660,2016-05-27,2016-05-19,8
DAN131,02-2660,2016-06-16,2016-05-27,20
DAN131,02-2660,2016-06-23,2016-06-16,7
DAN131,02-2660,2016-06-30,2016-06-23,7
DAN131,02-2660,2016-08-11,2016-06-30,42
DAN131,02-2660,2016-09-01,2016-08-11,21
DAN131,02-2660,2016-09-16,2016-09-01,15
DAN131,02-2660,2016-10-07,2016-09-16,21
DAN131,02-2660,2016-10-27,2016-10-07,20
DAN131,02-2660,2016-11-10,2016-10-27,14
DAN131,02-2660,2016-11-17,2016-11-10,7
DAN131,02-2660,2017-01-19,2016-11-17,63
DAN131,02-2660,2017-03-30,2017-01-19,70
DAN131,02-2660,2017-04-13,2017-03-30,14
DAN131,02-2660,2017-04-20,2017-04-13,7
DAN131,02-2660,2017-08-03,2017-04-20,105
