CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DPH100,02-7334,2015-09-17,2015-07-30,49
DPH100,02-7334,2015-10-26,2015-09-17,39
DPH100,02-7334,2015-11-24,2015-10-26,29
DPH100,02-7334,2015-11-25,2015-11-24,1
DPH100,02-7334,2016-02-29,2015-11-25,96
DPH100,02-7334,2016-04-25,2016-02-29,56
DPH100,02-7334,2016-04-28,2016-04-25,3
DPH100,02-7334,2016-05-19,2016-04-28,21
DPH100,02-7334,2016-07-27,2016-05-19,69
DPH100,02-7334,2016-11-02,2016-07-27,98
DPH100,02-7334,2016-12-15,2016-11-02,43
DPH100,02-7334,2016-12-20,2016-12-15,5
DPH100,02-7334,2016-12-22,2016-12-20,2
DPH100,02-7334,2017-01-09,2016-12-22,18
DPH100,02-7334,2017-04-19,2017-01-09,100
