CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DUN125,02-2173,2015-09-08,2015-09-02,6
DUN125,02-2173,2015-09-22,2015-09-08,14
DUN125,02-2173,2015-09-28,2015-09-22,6
DUN125,02-2173,2015-10-01,2015-09-28,3
DUN125,02-2173,2015-10-05,2015-10-01,4
DUN125,02-2173,2015-10-26,2015-10-05,21
DUN125,02-2173,2015-11-02,2015-10-26,7
DUN125,02-2173,2015-11-25,2015-11-02,23
DUN125,02-2173,2015-12-02,2015-11-25,7
DUN125,02-2173,2015-12-23,2015-12-02,21
DUN125,02-2173,2016-01-04,2015-12-23,12
DUN125,02-2173,2016-01-06,2016-01-04,2
DUN125,02-2173,2016-02-08,2016-01-06,33
DUN125,02-2173,2016-02-19,2016-02-08,11
DUN125,02-2173,2016-02-25,2016-02-19,6
DUN125,02-2173,2016-03-01,2016-02-25,5
DUN125,02-2173,2016-03-07,2016-03-01,6
DUN125,02-2173,2016-03-09,2016-03-07,2
DUN125,02-2173,2016-06-08,2016-03-09,91
DUN125,02-2173,2016-06-23,2016-06-08,15
DUN125,02-2173,2016-07-05,2016-06-23,12
DUN125,02-2173,2016-07-19,2016-07-05,14
DUN125,02-2173,2016-08-18,2016-07-19,30
