CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
EMPNY,0908-18,2015-06-30,2015-06-09,21
EMPNY,0908-18,2015-07-27,2015-06-30,27
EMPNY,0908-18,2015-08-18,2015-07-27,22
EMPNY,0908-18,2015-09-10,2015-08-18,23
EMPNY,0908-18,2015-10-28,2015-09-10,48
EMPNY,0908-18,2015-12-16,2015-10-28,49
EMPNY,0908-18,2016-01-04,2015-12-16,19
EMPNY,0908-18,2016-03-10,2016-01-04,66
EMPNY,0908-18,2016-04-28,2016-03-10,49
EMPNY,0908-18,2016-06-17,2016-04-28,50
EMPNY,0908-18,2016-08-04,2016-06-17,48
EMPNY,0908-18,2016-08-23,2016-08-04,19
EMPNY,0908-18,2016-09-14,2016-08-23,22
EMPNY,0908-18,2016-10-07,2016-09-14,23
EMPNY,0908-18,2016-11-01,2016-10-07,25
EMPNY,0908-18,2016-12-19,2016-11-01,48
EMPNY,0908-18,2017-02-02,2016-12-19,45
EMPNY,0908-18,2017-03-16,2017-02-02,42
EMPNY,0908-18,2017-03-23,2017-03-16,7
EMPNY,0908-18,2017-04-12,2017-03-23,20
EMPNY,0908-18,2017-05-25,2017-04-12,43
EMPNY,0908-18,2017-06-12,2017-05-25,18
EMPNY,0908-18,2017-07-19,2017-06-12,37
EMPNY,0908-18,2017-09-15,2017-07-19,58
EMPNY,0908-18,2017-10-03,2017-09-15,18
