CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FOR163,01-4422,2015-12-07,2015-11-23,14
FOR163,01-4422,2016-01-05,2015-12-07,29
FOR163,01-4422,2016-01-14,2016-01-05,9
FOR163,01-4422,2016-01-22,2016-01-14,8
FOR163,01-4422,2016-01-25,2016-01-22,3
FOR163,01-4422,2016-01-29,2016-01-25,4
FOR163,01-4422,2016-03-01,2016-01-29,32
FOR163,01-4422,2016-03-07,2016-03-01,6
FOR163,01-4422,2016-03-16,2016-03-07,9
FOR163,01-4422,2016-03-22,2016-03-16,6
FOR163,01-4422,2016-03-23,2016-03-22,1
FOR163,01-4422,2016-03-30,2016-03-23,7
FOR163,01-4422,2016-04-05,2016-03-30,6
FOR163,01-4422,2016-04-11,2016-04-05,6
FOR163,01-4422,2016-04-19,2016-04-11,8
FOR163,01-4422,2016-04-29,2016-04-19,10
FOR163,01-4422,2016-05-09,2016-04-29,10
FOR163,01-4422,2016-05-20,2016-05-09,11
FOR163,01-4422,2016-07-22,2016-05-20,63
FOR163,01-4422,2016-08-02,2016-07-22,11
FOR163,01-4422,2016-08-08,2016-08-02,6
FOR163,01-4422,2016-08-22,2016-08-08,14
FOR163,01-4422,2016-08-26,2016-08-22,4
FOR163,01-4422,2016-09-01,2016-08-26,6
FOR163,01-4422,2016-09-12,2016-09-01,11
FOR163,01-4422,2016-10-03,2016-09-12,21
FOR163,01-4422,2017-01-10,2016-10-03,99
FOR163,01-4422,2017-01-19,2017-01-10,9
FOR163,01-4422,2017-02-02,2017-01-19,14
FOR163,01-4422,2017-02-10,2017-02-02,8
FOR163,01-4422,2017-02-22,2017-02-10,12
