CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FUT102,01-8134,2016-10-07,2016-09-12,25
FUT102,01-8134,2016-10-13,2016-10-07,6
FUT102,01-8134,2016-11-10,2016-10-13,28
FUT102,01-8134,2016-11-14,2016-11-10,4
FUT102,01-8134,2016-11-16,2016-11-14,2
FUT102,01-8134,2016-11-28,2016-11-16,12
FUT102,01-8134,2016-11-29,2016-11-28,1
FUT102,01-8134,2016-12-01,2016-11-29,2
FUT102,01-8134,2017-01-09,2016-12-01,39
FUT102,01-8134,2017-01-30,2017-01-09,21
FUT102,01-8134,2017-04-24,2017-01-30,84
FUT102,01-8134,2017-05-01,2017-04-24,7
FUT102,01-8134,2017-05-09,2017-05-01,8
FUT102,01-8134,2017-06-28,2017-05-09,50
FUT102,01-8134,2017-08-29,2017-06-28,62
