CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GOD101,01-8242,2016-11-02,2016-09-28,35
GOD101,01-8242,2016-11-08,2016-11-02,6
GOD101,01-8242,2016-11-29,2016-11-08,21
GOD101,01-8242,2016-12-08,2016-11-29,9
GOD101,01-8242,2016-12-14,2016-12-08,6
GOD101,01-8242,2017-01-03,2016-12-14,20
GOD101,01-8242,2017-01-06,2017-01-03,3
GOD101,01-8242,2017-01-25,2017-01-06,19
GOD101,01-8242,2017-01-31,2017-01-25,6
GOD101,01-8242,2017-02-08,2017-01-31,8
GOD101,01-8242,2017-02-23,2017-02-08,15
GOD101,01-8242,2017-02-27,2017-02-23,4
GOD101,01-8242,2017-03-09,2017-02-27,10
GOD101,01-8242,2017-03-27,2017-03-09,18
GOD101,01-8242,2017-05-10,2017-03-27,44
GOD101,01-8242,2017-06-07,2017-05-10,28
