CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GOL131,02-6388,2015-09-28,2015-09-02,26
GOL131,02-6388,2016-05-25,2015-09-28,240
GOL131,02-6388,2016-08-03,2016-05-25,70
GOL131,02-6388,2016-08-22,2016-08-03,19
GOL131,02-6388,2016-09-19,2016-08-22,28
GOL131,02-6388,2016-10-11,2016-09-19,22
GOL131,02-6388,2016-10-31,2016-10-11,20
GOL131,02-6388,2016-11-22,2016-10-31,22
GOL131,02-6388,2016-12-12,2016-11-22,20
GOL131,02-6388,2017-01-03,2016-12-12,22
GOL131,02-6388,2017-01-16,2017-01-03,13
GOL131,02-6388,2017-02-06,2017-01-16,21
GOL131,02-6388,2017-02-15,2017-02-06,9
GOL131,02-6388,2017-02-23,2017-02-15,8
GOL131,02-6388,2017-03-21,2017-02-23,26
GOL131,02-6388,2017-03-28,2017-03-21,7
GOL131,02-6388,2017-04-17,2017-03-28,20
GOL131,02-6388,2017-04-19,2017-04-17,2
GOL131,02-6388,2017-05-01,2017-04-19,12
GOL131,02-6388,2017-05-18,2017-05-01,17
GOL131,02-6388,2017-06-15,2017-05-18,28
GOL131,02-6388,2017-06-27,2017-06-15,12
GOL131,02-6388,2017-07-19,2017-06-27,22
GOL131,02-6388,2017-07-27,2017-07-19,8
GOL131,02-6388,2017-08-23,2017-07-27,27
