CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GRO128,02-0567,2015-06-16,2015-06-04,12
GRO128,02-0567,2015-07-08,2015-06-16,22
GRO128,02-0567,2015-07-17,2015-07-08,9
GRO128,02-0567,2015-07-31,2015-07-17,14
GRO128,02-0567,2015-08-10,2015-07-31,10
GRO128,02-0567,2015-09-14,2015-08-10,35
GRO128,02-0567,2015-09-21,2015-09-14,7
GRO128,02-0567,2015-10-14,2015-09-21,23
GRO128,02-0567,2015-11-09,2015-10-14,26
GRO128,02-0567,2015-11-20,2015-11-09,11
GRO128,02-0567,2015-12-07,2015-11-20,17
GRO128,02-0567,2016-06-28,2015-12-07,204
GRO128,02-0567,2016-07-07,2016-06-28,9
GRO128,02-0567,2016-09-15,2016-07-07,70
GRO128,02-0567,2016-11-15,2016-09-15,61
