CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HAG100,02-6833,2015-10-30,2015-09-24,36
HAG100,02-6833,2015-11-20,2015-10-30,21
HAG100,02-6833,2015-12-09,2015-11-20,19
HAG100,02-6833,2016-01-11,2015-12-09,33
HAG100,02-6833,2016-02-18,2016-01-11,38
HAG100,02-6833,2016-03-15,2016-02-18,26
HAG100,02-6833,2016-05-25,2016-03-15,71
HAG100,02-6833,2016-06-24,2016-05-25,30
HAG100,02-6833,2016-08-18,2016-06-24,55
HAG100,02-6833,2016-09-14,2016-08-18,27
HAG100,02-6833,2016-10-14,2016-09-14,30
HAG100,02-6833,2016-11-17,2016-10-14,34
HAG100,02-6833,2016-12-07,2016-11-17,20
HAG100,02-6833,2017-01-13,2016-12-07,37
HAG100,02-6833,2017-02-13,2017-01-13,31
HAG100,02-6833,2017-11-08,2017-02-13,268
