CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
INS113,02-5214,2016-02-27,2016-01-06,52
INS113,02-5214,2016-03-24,2016-02-27,26
INS113,02-5214,2017-01-05,2016-03-24,287
INS113,02-5214,2017-01-24,2017-01-05,19
INS113,02-5214,2017-02-20,2017-01-24,27
INS113,02-5214,2017-02-23,2017-02-20,3
INS113,02-5214,2017-03-11,2017-02-23,16
INS113,02-5214,2017-03-27,2017-03-11,16
INS113,02-5214,2017-04-03,2017-03-27,7
INS113,02-5214,2017-04-04,2017-04-03,1
INS113,02-5214,2017-04-06,2017-04-04,2
INS113,02-5214,2017-04-27,2017-04-06,21
INS113,02-5214,2017-05-09,2017-04-27,12
INS113,02-5214,2017-05-15,2017-05-09,6
INS113,02-5214,2017-05-17,2017-05-15,2
INS113,02-5214,2017-05-30,2017-05-17,13
INS113,02-5214,2017-06-05,2017-05-30,6
INS113,02-5214,2017-06-20,2017-06-05,15
INS113,02-5214,2017-06-21,2017-06-20,1
INS113,02-5214,2017-07-17,2017-06-21,26
INS113,02-5214,2017-07-27,2017-07-17,10
INS113,02-5214,2017-08-02,2017-07-27,6
INS113,02-5214,2017-08-15,2017-08-02,13
INS113,02-5214,2017-08-21,2017-08-15,6
INS113,02-5214,2017-08-23,2017-08-21,2
INS113,02-5214,2017-09-14,2017-08-23,22
INS113,02-5214,2017-09-16,2017-09-14,2
INS113,02-5214,2017-09-21,2017-09-16,5
INS113,02-5214,2017-10-23,2017-09-21,32
INS113,02-5214,2017-11-02,2017-10-23,10
