CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
JSP100,02-2842,2016-06-21,2016-06-06,15
JSP100,02-2842,2016-07-11,2016-06-21,20
JSP100,02-2842,2016-07-26,2016-07-11,15
JSP100,02-2842,2016-08-08,2016-07-26,13
JSP100,02-2842,2016-08-15,2016-08-08,7
JSP100,02-2842,2016-09-08,2016-08-15,24
JSP100,02-2842,2016-09-26,2016-09-08,18
JSP100,02-2842,2016-10-10,2016-09-26,14
JSP100,02-2842,2016-11-30,2016-10-10,51
JSP100,02-2842,2016-12-12,2016-11-30,12
JSP100,02-2842,2017-01-17,2016-12-12,36
JSP100,02-2842,2017-01-25,2017-01-17,8
JSP100,02-2842,2017-01-31,2017-01-25,6
JSP100,02-2842,2017-03-03,2017-01-31,31
JSP100,02-2842,2017-04-06,2017-03-03,34
JSP100,02-2842,2017-04-11,2017-04-06,5
JSP100,02-2842,2017-05-05,2017-04-11,24
JSP100,02-2842,2017-05-16,2017-05-05,11
