CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LOV112,10-2600,2016-07-25,2016-07-20,5
LOV112,10-2600,2016-08-29,2016-07-25,35
LOV112,10-2600,2016-09-02,2016-08-29,4
LOV112,10-2600,2016-09-06,2016-09-02,4
LOV112,10-2600,2016-11-07,2016-09-06,62
LOV112,10-2600,2016-12-22,2016-11-07,45
LOV112,10-2600,2016-12-27,2016-12-22,5
LOV112,10-2600,2016-12-29,2016-12-27,2
LOV112,10-2600,2017-01-11,2016-12-29,13
LOV112,10-2600,2017-01-17,2017-01-11,6
LOV112,10-2600,2017-01-23,2017-01-17,6
LOV112,10-2600,2017-02-27,2017-01-23,35
LOV112,10-2600,2017-03-01,2017-02-27,2
LOV112,10-2600,2017-03-07,2017-03-01,6
LOV112,10-2600,2017-05-19,2017-03-07,73
LOV112,10-2600,2017-05-22,2017-05-19,3
LOV112,10-2600,2017-08-14,2017-05-22,84
LOV112,10-2600,2017-08-18,2017-08-14,4
LOV112,10-2600,2017-09-22,2017-08-18,35
LOV112,10-2600,2017-10-09,2017-09-22,17
LOV112,10-2600,2017-11-01,2017-10-09,23
