CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAC134,02-7292,2015-10-28,2015-10-07,21
MAC134,02-7292,2015-11-11,2015-10-28,14
MAC134,02-7292,2015-12-14,2015-11-11,33
MAC134,02-7292,2016-01-20,2015-12-14,37
MAC134,02-7292,2016-02-01,2016-01-20,12
MAC134,02-7292,2016-02-05,2016-02-01,4
MAC134,02-7292,2016-02-26,2016-02-05,21
MAC134,02-7292,2016-03-03,2016-02-26,6
MAC134,02-7292,2016-03-10,2016-03-03,7
MAC134,02-7292,2016-04-20,2016-03-10,41
MAC134,02-7292,2016-05-04,2016-04-20,14
MAC134,02-7292,2016-05-27,2016-05-04,23
MAC134,02-7292,2016-06-09,2016-05-27,13
MAC134,02-7292,2016-06-21,2016-06-09,12
MAC134,02-7292,2016-07-20,2016-06-21,29
MAC134,02-7292,2016-08-08,2016-07-20,19
MAC134,02-7292,2016-08-24,2016-08-08,16
MAC134,02-7292,2016-09-07,2016-08-24,14
MAC134,02-7292,2016-09-23,2016-09-07,16
MAC134,02-7292,2016-10-07,2016-09-23,14
MAC134,02-7292,2016-10-18,2016-10-07,11
MAC134,02-7292,2016-11-03,2016-10-18,16
MAC134,02-7292,2016-11-17,2016-11-03,14
MAC134,02-7292,2016-12-06,2016-11-17,19
MAC134,02-7292,2016-12-22,2016-12-06,16
MAC134,02-7292,2017-01-03,2016-12-22,12
MAC134,02-7292,2017-01-16,2017-01-03,13
MAC134,02-7292,2017-02-01,2017-01-16,16
MAC134,02-7292,2017-02-10,2017-02-01,9
MAC134,02-7292,2017-04-11,2017-02-10,60
MAC134,02-7292,2017-04-24,2017-04-11,13
MAC134,02-7292,2017-05-10,2017-04-24,16
MAC134,02-7292,2017-05-24,2017-05-10,14
MAC134,02-7292,2017-06-07,2017-05-24,14
MAC134,02-7292,2017-11-15,2017-06-07,161
