CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAL102,02-8660,2015-06-29,2015-06-08,21
MAL102,02-8660,2015-06-30,2015-06-29,1
MAL102,02-8660,2015-08-06,2015-06-30,37
MAL102,02-8660,2015-08-10,2015-08-06,4
MAL102,02-8660,2015-08-19,2015-08-10,9
MAL102,02-8660,2015-08-24,2015-08-19,5
MAL102,02-8660,2015-08-28,2015-08-24,4
MAL102,02-8660,2015-09-10,2015-08-28,13
MAL102,02-8660,2015-09-22,2015-09-10,12
MAL102,02-8660,2015-10-07,2015-09-22,15
MAL102,02-8660,2015-10-13,2015-10-07,6
MAL102,02-8660,2015-10-14,2015-10-13,1
MAL102,02-8660,2015-11-06,2015-10-14,23
MAL102,02-8660,2016-10-27,2015-11-06,356
MAL102,02-8660,2016-11-25,2016-10-27,29
MAL102,02-8660,2016-11-29,2016-11-25,4
MAL102,02-8660,2016-12-01,2016-11-29,2
MAL102,02-8660,2016-12-05,2016-12-01,4
MAL102,02-8660,2016-12-23,2016-12-05,18
MAL102,02-8660,2016-12-29,2016-12-23,6
MAL102,02-8660,2016-12-30,2016-12-29,1
MAL102,02-8660,2017-01-03,2016-12-30,4
MAL102,02-8660,2017-01-13,2017-01-03,10
MAL102,02-8660,2017-01-20,2017-01-13,7
MAL102,02-8660,2017-01-25,2017-01-20,5
MAL102,02-8660,2017-01-27,2017-01-25,2
MAL102,02-8660,2017-02-09,2017-01-27,13
MAL102,02-8660,2017-02-10,2017-02-09,1
MAL102,02-8660,2017-02-20,2017-02-10,10
MAL102,02-8660,2017-02-21,2017-02-20,1
MAL102,02-8660,2017-02-24,2017-02-21,3
MAL102,02-8660,2017-03-03,2017-02-24,7
MAL102,02-8660,2017-03-10,2017-03-03,7
MAL102,02-8660,2017-03-24,2017-03-10,14
MAL102,02-8660,2017-03-29,2017-03-24,5
MAL102,02-8660,2017-04-28,2017-03-29,30
MAL102,02-8660,2017-05-16,2017-04-28,18
MAL102,02-8660,2017-05-19,2017-05-16,3
MAL102,02-8660,2017-05-26,2017-05-19,7
MAL102,02-8660,2017-06-02,2017-05-26,7
MAL102,02-8660,2017-06-09,2017-06-02,7
MAL102,02-8660,2017-06-13,2017-06-09,4
MAL102,02-8660,2017-06-15,2017-06-13,2
MAL102,02-8660,2017-06-16,2017-06-15,1
MAL102,02-8660,2017-06-30,2017-06-16,14
MAL102,02-8660,2017-07-08,2017-06-30,8
MAL102,02-8660,2017-07-14,2017-07-08,6
MAL102,02-8660,2017-07-21,2017-07-14,7
MAL102,02-8660,2017-07-28,2017-07-21,7
MAL102,02-8660,2017-08-02,2017-07-28,5
