CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MOU138,02-0103,2016-02-10,2016-02-02,8
MOU138,02-0103,2016-04-04,2016-02-10,54
MOU138,02-0103,2016-04-20,2016-04-04,16
MOU138,02-0103,2016-05-18,2016-04-20,28
MOU138,02-0103,2016-07-01,2016-05-18,44
MOU138,02-0103,2016-08-08,2016-07-01,38
MOU138,02-0103,2016-08-16,2016-08-08,8
MOU138,02-0103,2016-09-15,2016-08-16,30
MOU138,02-0103,2016-10-21,2016-09-15,36
MOU138,02-0103,2016-12-13,2016-10-21,53
MOU138,02-0103,2017-01-10,2016-12-13,28
MOU138,02-0103,2017-03-20,2017-01-10,69
MOU138,02-0103,2017-04-17,2017-03-20,28
MOU138,02-0103,2017-05-15,2017-04-17,28
MOU138,02-0103,2017-06-07,2017-05-15,23
MOU138,02-0103,2017-07-10,2017-06-07,33
MOU138,02-0103,2017-10-09,2017-07-10,91
