CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MPP203,02-6586,2016-03-14,2016-02-29,14
MPP203,02-6586,2016-04-29,2016-03-14,46
MPP203,02-6586,2016-05-31,2016-04-29,32
MPP203,02-6586,2016-06-06,2016-05-31,6
MPP203,02-6586,2016-06-07,2016-06-06,1
MPP203,02-6586,2016-06-22,2016-06-07,15
MPP203,02-6586,2016-06-27,2016-06-22,5
MPP203,02-6586,2016-06-29,2016-06-27,2
MPP203,02-6586,2016-07-12,2016-06-29,13
MPP203,02-6586,2016-07-15,2016-07-12,3
MPP203,02-6586,2016-07-28,2016-07-15,13
MPP203,02-6586,2017-02-07,2016-07-28,194
MPP203,02-6586,2017-05-01,2017-02-07,83
MPP203,02-6586,2017-05-04,2017-05-01,3
MPP203,02-6586,2017-06-05,2017-05-04,32
MPP203,02-6586,2017-06-08,2017-06-05,3
