CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NEL110,02-6833,2015-05-20,2015-05-18,2
NEL110,02-6833,2015-08-04,2015-05-20,76
NEL110,02-6833,2015-09-22,2015-08-04,49
NEL110,02-6833,2015-10-01,2015-09-22,9
NEL110,02-6833,2015-12-03,2015-10-01,63
NEL110,02-6833,2015-12-16,2015-12-03,13
NEL110,02-6833,2015-12-28,2015-12-16,12
NEL110,02-6833,2016-02-26,2015-12-28,60
NEL110,02-6833,2016-03-18,2016-02-26,21
NEL110,02-6833,2016-03-23,2016-03-18,5
NEL110,02-6833,2016-05-03,2016-03-23,41
NEL110,02-6833,2016-07-07,2016-05-03,65
NEL110,02-6833,2016-07-15,2016-07-07,8
NEL110,02-6833,2016-08-09,2016-07-15,25
NEL110,02-6833,2016-09-22,2016-08-09,44
NEL110,02-6833,2016-11-01,2016-09-22,40
NEL110,02-6833,2016-11-05,2016-11-01,4
NEL110,02-6833,2016-12-29,2016-11-05,54
NEL110,02-6833,2017-01-17,2016-12-29,19
NEL110,02-6833,2017-03-23,2017-01-17,65
