CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NOR184,02-9834,2017-05-08,2017-05-02,6
NOR184,02-9834,2017-05-15,2017-05-08,7
NOR184,02-9834,2017-05-30,2017-05-15,15
NOR184,02-9834,2017-06-01,2017-05-30,2
NOR184,02-9834,2017-06-05,2017-06-01,4
NOR184,02-9834,2017-07-05,2017-06-05,30
NOR184,02-9834,2017-07-06,2017-07-05,1
NOR184,02-9834,2017-07-07,2017-07-06,1
NOR184,02-9834,2017-07-28,2017-07-07,21
NOR184,02-9834,2017-08-03,2017-07-28,6
NOR184,02-9834,2017-08-07,2017-08-03,4
NOR184,02-9834,2017-08-11,2017-08-07,4
NOR184,02-9834,2017-08-28,2017-08-11,17
NOR184,02-9834,2017-09-06,2017-08-28,9
NOR184,02-9834,2017-10-02,2017-09-06,26
NOR184,02-9834,2017-10-09,2017-10-02,7
NOR184,02-9834,2017-10-10,2017-10-09,1
NOR184,02-9834,2017-10-17,2017-10-10,7
NOR184,02-9834,2017-10-25,2017-10-17,8
NOR184,02-9834,2017-11-03,2017-10-25,9
NOR184,02-9834,2017-11-09,2017-11-03,6
NOR184,02-9834,2017-12-01,2017-11-09,22
NOR184,02-9834,2017-12-05,2017-12-01,4
