CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OMK100,02-2374,2015-11-24,2015-11-16,8
OMK100,02-2374,2015-11-30,2015-11-24,6
OMK100,02-2374,2015-12-21,2015-11-30,21
OMK100,02-2374,2016-01-14,2015-12-21,24
OMK100,02-2374,2016-02-15,2016-01-14,32
OMK100,02-2374,2016-03-03,2016-02-15,17
OMK100,02-2374,2016-03-17,2016-03-03,14
OMK100,02-2374,2016-04-13,2016-03-17,27
OMK100,02-2374,2016-04-28,2016-04-13,15
OMK100,02-2374,2016-06-03,2016-04-28,36
OMK100,02-2374,2016-06-15,2016-06-03,12
OMK100,02-2374,2016-07-06,2016-06-15,21
OMK100,02-2374,2016-07-25,2016-07-06,19
OMK100,02-2374,2016-08-27,2016-07-25,33
OMK100,02-2374,2016-09-13,2016-08-27,17
