CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OWL110,02-0757,2016-01-23,2015-11-30,54
OWL110,02-0757,2016-03-01,2016-01-23,38
OWL110,02-0757,2016-03-03,2016-03-01,2
OWL110,02-0757,2016-03-29,2016-03-03,26
OWL110,02-0757,2016-04-07,2016-03-29,9
OWL110,02-0757,2016-04-13,2016-04-07,6
OWL110,02-0757,2016-04-28,2016-04-13,15
OWL110,02-0757,2016-05-20,2016-04-28,22
OWL110,02-0757,2016-07-29,2016-05-20,70
OWL110,02-0757,2016-10-05,2016-07-29,68
OWL110,02-0757,2016-10-17,2016-10-05,12
OWL110,02-0757,2016-10-18,2016-10-17,1
OWL110,02-0757,2016-11-16,2016-10-18,29
OWL110,02-0757,2016-12-01,2016-11-16,15
OWL110,02-0757,2017-01-13,2016-12-01,43
OWL110,02-0757,2017-01-16,2017-01-13,3
OWL110,02-0757,2017-02-02,2017-01-16,17
OWL110,02-0757,2017-02-15,2017-02-02,13
OWL110,02-0757,2017-03-01,2017-02-15,14
OWL110,02-0757,2017-05-25,2017-03-01,85
OWL110,02-0757,2017-07-05,2017-05-25,41
OWL110,02-0757,2017-07-26,2017-07-05,21
OWL110,02-0757,2017-08-28,2017-07-26,33
OWL110,02-0757,2017-10-09,2017-08-28,42
OWL110,02-0757,2017-10-19,2017-10-09,10
OWL110,02-0757,2017-12-07,2017-10-19,49
