CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PHA173,SPC1040,2015-05-14,2015-05-06,8
PHA173,SPC1040,2015-05-19,2015-05-14,5
PHA173,SPC1040,2015-06-02,2015-05-19,14
PHA173,SPC1040,2015-06-09,2015-06-02,7
PHA173,SPC1040,2015-06-16,2015-06-09,7
PHA173,SPC1040,2015-07-07,2015-06-16,21
PHA173,SPC1040,2015-07-14,2015-07-07,7
PHA173,SPC1040,2015-07-15,2015-07-14,1
PHA173,SPC1040,2015-08-04,2015-07-15,20
PHA173,SPC1040,2015-09-01,2015-08-04,28
PHA173,SPC1040,2015-09-09,2015-09-01,8
PHA173,SPC1040,2015-09-15,2015-09-09,6
PHA173,SPC1040,2015-10-06,2015-09-15,21
PHA173,SPC1040,2015-10-27,2015-10-06,21
PHA173,SPC1040,2015-11-10,2015-10-27,14
PHA173,SPC1040,2015-11-17,2015-11-10,7
PHA173,SPC1040,2015-11-24,2015-11-17,7
PHA173,SPC1040,2015-12-08,2015-11-24,14
PHA173,SPC1040,2015-12-15,2015-12-08,7
PHA173,SPC1040,2015-12-22,2015-12-15,7
PHA173,SPC1040,2016-01-08,2015-12-22,17
PHA173,SPC1040,2016-01-12,2016-01-08,4
PHA173,SPC1040,2016-01-19,2016-01-12,7
PHA173,SPC1040,2016-02-02,2016-01-19,14
PHA173,SPC1040,2016-02-09,2016-02-02,7
PHA173,SPC1040,2016-03-01,2016-02-09,21
PHA173,SPC1040,2016-05-17,2016-03-01,77
PHA173,SPC1040,2016-06-01,2016-05-17,15
