CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PHA274,02-4509,2015-07-20,2015-07-13,7
PHA274,02-4509,2015-08-24,2015-07-20,35
PHA274,02-4509,2015-09-17,2015-08-24,24
PHA274,02-4509,2015-09-29,2015-09-17,12
PHA274,02-4509,2015-10-26,2015-09-29,27
PHA274,02-4509,2015-11-24,2015-10-26,29
PHA274,02-4509,2015-12-03,2015-11-24,9
PHA274,02-4509,2016-01-04,2015-12-03,32
PHA274,02-4509,2016-01-07,2016-01-04,3
PHA274,02-4509,2016-02-05,2016-01-07,29
PHA274,02-4509,2016-02-25,2016-02-05,20
PHA274,02-4509,2016-03-23,2016-02-25,27
PHA274,02-4509,2016-04-04,2016-03-23,12
PHA274,02-4509,2016-10-03,2016-04-04,182
PHA274,02-4509,2016-10-06,2016-10-03,3
PHA274,02-4509,2016-10-14,2016-10-06,8
