CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PMO101,02-1775,2017-01-23,2016-12-12,42
PMO101,02-1775,2017-01-30,2017-01-23,7
PMO101,02-1775,2017-02-03,2017-01-30,4
PMO101,02-1775,2017-02-13,2017-02-03,10
PMO101,02-1775,2017-02-14,2017-02-13,1
PMO101,02-1775,2017-03-15,2017-02-14,29
PMO101,02-1775,2017-03-22,2017-03-15,7
PMO101,02-1775,2017-03-30,2017-03-22,8
PMO101,02-1775,2017-05-11,2017-03-30,42
PMO101,02-1775,2017-06-27,2017-05-11,47
PMO101,02-1775,2017-06-30,2017-06-27,3
PMO101,02-1775,2017-07-07,2017-06-30,7
PMO101,02-1775,2017-07-19,2017-07-07,12
PMO101,02-1775,2017-07-25,2017-07-19,6
PMO101,02-1775,2017-07-28,2017-07-25,3
PMO101,02-1775,2017-08-15,2017-07-28,18
PMO101,02-1775,2017-08-21,2017-08-15,6
PMO101,02-1775,2017-08-23,2017-08-21,2
PMO101,02-1775,2017-08-25,2017-08-23,2
PMO101,02-1775,2017-09-13,2017-08-25,19
PMO101,02-1775,2017-09-18,2017-09-13,5
PMO101,02-1775,2017-10-05,2017-09-18,17
PMO101,02-1775,2017-10-10,2017-10-05,5
PMO101,02-1775,2017-10-25,2017-10-10,15
PMO101,02-1775,2017-10-30,2017-10-25,5
PMO101,02-1775,2017-11-10,2017-10-30,11
PMO101,02-1775,2017-11-21,2017-11-10,11
PMO101,02-1775,2017-12-04,2017-11-21,13
