CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PRI218,01-4422,2016-04-15,2016-03-30,16
PRI218,01-4422,2016-11-01,2016-04-15,200
PRI218,01-4422,2016-11-04,2016-11-01,3
PRI218,01-4422,2017-02-10,2016-11-04,98
PRI218,01-4422,2017-02-14,2017-02-10,4
PRI218,01-4422,2017-03-01,2017-02-14,15
PRI218,01-4422,2017-03-06,2017-03-01,5
PRI218,01-4422,2017-09-11,2017-03-06,189
PRI218,01-4422,2017-09-13,2017-09-11,2
PRI218,01-4422,2017-09-21,2017-09-13,8
PRI218,01-4422,2017-09-22,2017-09-21,1
PRI218,01-4422,2017-09-25,2017-09-22,3
PRI218,01-4422,2017-10-02,2017-09-25,7
PRI218,01-4422,2017-10-05,2017-10-02,3
PRI218,01-4422,2017-10-12,2017-10-05,7
PRI218,01-4422,2017-10-16,2017-10-12,4
PRI218,01-4422,2017-10-19,2017-10-16,3
PRI218,01-4422,2017-11-09,2017-10-19,21
PRI218,01-4422,2017-11-13,2017-11-09,4
PRI218,01-4422,2017-12-04,2017-11-13,21
PRI218,01-4422,2017-12-11,2017-12-04,7
PRI218,01-4422,2017-12-12,2017-12-11,1
