CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RAC103,02-5624,2015-06-15,2015-06-12,3
RAC103,02-5624,2015-10-05,2015-06-15,112
RAC103,02-5624,2017-01-17,2015-10-05,470
RAC103,02-5624,2017-01-20,2017-01-17,3
RAC103,02-5624,2017-02-13,2017-01-20,24
RAC103,02-5624,2017-02-16,2017-02-13,3
RAC103,02-5624,2017-03-06,2017-02-16,18
RAC103,02-5624,2017-03-13,2017-03-06,7
RAC103,02-5624,2017-03-17,2017-03-13,4
RAC103,02-5624,2017-04-17,2017-03-17,31
RAC103,02-5624,2017-05-08,2017-04-17,21
RAC103,02-5624,2017-05-18,2017-05-08,10
RAC103,02-5624,2017-05-22,2017-05-18,4
RAC103,02-5624,2017-06-05,2017-05-22,14
RAC103,02-5624,2017-06-16,2017-06-05,11
RAC103,02-5624,2017-07-10,2017-06-16,24
RAC103,02-5624,2017-07-17,2017-07-10,7
RAC103,02-5624,2017-08-07,2017-07-17,21
RAC103,02-5624,2017-08-08,2017-08-07,1
RAC103,02-5624,2017-08-16,2017-08-08,8
RAC103,02-5624,2017-09-06,2017-08-16,21
RAC103,02-5624,2017-09-14,2017-09-06,8
RAC103,02-5624,2017-09-15,2017-09-14,1
RAC103,02-5624,2017-10-05,2017-09-15,20
RAC103,02-5624,2017-10-13,2017-10-05,8
