CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SHE164,B2-4299,2015-05-26,2015-05-19,7
SHE164,B2-4299,2015-06-01,2015-05-26,6
SHE164,B2-4299,2015-06-15,2015-06-01,14
SHE164,B2-4299,2015-06-16,2015-06-15,1
SHE164,B2-4299,2015-06-18,2015-06-16,2
SHE164,B2-4299,2015-06-19,2015-06-18,1
SHE164,B2-4299,2015-07-13,2015-06-19,24
SHE164,B2-4299,2015-08-25,2015-07-13,43
SHE164,B2-4299,2015-09-10,2015-08-25,16
SHE164,B2-4299,2015-09-14,2015-09-10,4
SHE164,B2-4299,2015-09-16,2015-09-14,2
SHE164,B2-4299,2015-09-17,2015-09-16,1
SHE164,B2-4299,2015-11-23,2015-09-17,67
SHE164,B2-4299,2015-12-28,2015-11-23,35
SHE164,B2-4299,2015-12-31,2015-12-28,3
SHE164,B2-4299,2016-01-04,2015-12-31,4
SHE164,B2-4299,2016-01-07,2016-01-04,3
SHE164,B2-4299,2016-01-11,2016-01-07,4
SHE164,B2-4299,2016-01-12,2016-01-11,1
SHE164,B2-4299,2016-01-27,2016-01-12,15
SHE164,B2-4299,2016-01-28,2016-01-27,1
SHE164,B2-4299,2016-01-29,2016-01-28,1
SHE164,B2-4299,2016-02-09,2016-01-29,11
SHE164,B2-4299,2016-02-11,2016-02-09,2
SHE164,B2-4299,2016-02-15,2016-02-11,4
SHE164,B2-4299,2016-02-16,2016-02-15,1
SHE164,B2-4299,2016-02-29,2016-02-16,13
SHE164,B2-4299,2016-03-30,2016-02-29,30
SHE164,B2-4299,2016-04-27,2016-03-30,28
SHE164,B2-4299,2016-05-05,2016-04-27,8
SHE164,B2-4299,2016-11-16,2016-05-05,195
SHE164,B2-4299,2016-12-06,2016-11-16,20
SHE164,B2-4299,2016-12-12,2016-12-06,6
SHE164,B2-4299,2016-12-16,2016-12-12,4
SHE164,B2-4299,2017-01-18,2016-12-16,33
SHE164,B2-4299,2017-03-15,2017-01-18,56
SHE164,B2-4299,2017-04-03,2017-03-15,19
SHE164,B2-4299,2017-04-05,2017-04-03,2
