CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SHU104,02-1291,2015-06-12,2015-05-27,16
SHU104,02-1291,2015-07-10,2015-06-12,28
SHU104,02-1291,2015-08-03,2015-07-10,24
SHU104,02-1291,2015-08-22,2015-08-03,19
SHU104,02-1291,2015-09-09,2015-08-22,18
SHU104,02-1291,2015-10-05,2015-09-09,26
SHU104,02-1291,2015-10-29,2015-10-05,24
SHU104,02-1291,2015-11-12,2015-10-29,14
SHU104,02-1291,2015-12-14,2015-11-12,32
SHU104,02-1291,2016-01-13,2015-12-14,30
SHU104,02-1291,2016-02-08,2016-01-13,26
SHU104,02-1291,2016-03-03,2016-02-08,24
SHU104,02-1291,2016-03-29,2016-03-03,26
SHU104,02-1291,2016-04-25,2016-03-29,27
SHU104,02-1291,2016-05-17,2016-04-25,22
SHU104,02-1291,2016-06-13,2016-05-17,27
SHU104,02-1291,2016-07-05,2016-06-13,22
SHU104,02-1291,2016-08-01,2016-07-05,27
SHU104,02-1291,2016-08-22,2016-08-01,21
SHU104,02-1291,2016-09-12,2016-08-22,21
SHU104,02-1291,2016-10-03,2016-09-12,21
SHU104,02-1291,2016-10-25,2016-10-03,22
SHU104,02-1291,2016-11-12,2016-10-25,18
SHU104,02-1291,2016-12-02,2016-11-12,20
SHU104,02-1291,2016-12-19,2016-12-02,17
SHU104,02-1291,2017-01-20,2016-12-19,32
SHU104,02-1291,2017-02-13,2017-01-20,24
SHU104,02-1291,2017-03-20,2017-02-13,35
SHU104,02-1291,2017-04-20,2017-03-20,31
SHU104,02-1291,2017-05-12,2017-04-20,22
