CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SMD100,02-3542,2017-02-09,2017-02-02,7
SMD100,02-3542,2017-03-14,2017-02-09,33
SMD100,02-3542,2017-03-31,2017-03-14,17
SMD100,02-3542,2017-04-07,2017-03-31,7
SMD100,02-3542,2017-04-18,2017-04-07,11
SMD100,02-3542,2017-04-25,2017-04-18,7
SMD100,02-3542,2017-04-28,2017-04-25,3
SMD100,02-3542,2017-05-17,2017-04-28,19
SMD100,02-3542,2017-05-19,2017-05-17,2
SMD100,02-3542,2017-05-23,2017-05-19,4
SMD100,02-3542,2017-06-01,2017-05-23,9
SMD100,02-3542,2017-06-06,2017-06-01,5
SMD100,02-3542,2017-06-09,2017-06-06,3
SMD100,02-3542,2017-06-14,2017-06-09,5
SMD100,02-3542,2017-07-14,2017-06-14,30
SMD100,02-3542,2017-07-18,2017-07-14,4
SMD100,02-3542,2017-11-09,2017-07-18,114
