CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
STA217,06-4840,2016-11-18,2016-09-12,67
STA217,06-4840,2016-12-06,2016-11-18,18
STA217,06-4840,2016-12-30,2016-12-06,24
STA217,06-4840,2017-03-08,2016-12-30,68
STA217,06-4840,2017-04-03,2017-03-08,26
STA217,06-4840,2017-04-14,2017-04-03,11
STA217,06-4840,2017-04-24,2017-04-14,10
STA217,06-4840,2017-05-08,2017-04-24,14
STA217,06-4840,2017-05-19,2017-05-08,11
STA217,06-4840,2017-06-05,2017-05-19,17
STA217,06-4840,2017-07-12,2017-06-05,37
STA217,06-4840,2017-08-07,2017-07-12,26
STA217,06-4840,2017-08-14,2017-08-07,7
STA217,06-4840,2017-08-25,2017-08-14,11
STA217,06-4840,2017-09-11,2017-08-25,17
