CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SUP211,01-3252,2016-10-19,2016-08-15,65
SUP211,01-3252,2016-11-30,2016-10-19,42
SUP211,01-3252,2017-04-10,2016-11-30,131
SUP211,01-3252,2017-04-17,2017-04-10,7
SUP211,01-3252,2017-05-03,2017-04-17,16
SUP211,01-3252,2017-05-30,2017-05-03,27
SUP211,01-3252,2017-07-12,2017-05-30,43
SUP211,01-3252,2017-07-27,2017-07-12,15
SUP211,01-3252,2017-08-18,2017-07-27,22
SUP211,01-3252,2017-08-22,2017-08-18,4
SUP211,01-3252,2017-08-30,2017-08-22,8
SUP211,01-3252,2017-09-05,2017-08-30,6
SUP211,01-3252,2017-09-11,2017-09-05,6
SUP211,01-3252,2017-09-20,2017-09-11,9
SUP211,01-3252,2017-10-04,2017-09-20,14
SUP211,01-3252,2017-10-10,2017-10-04,6
SUP211,01-3252,2017-10-16,2017-10-10,6
