CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TRU112,02-6448,2016-06-23,2015-12-14,192
TRU112,02-6448,2016-08-11,2016-06-23,49
TRU112,02-6448,2016-08-16,2016-08-11,5
TRU112,02-6448,2016-09-20,2016-08-16,35
TRU112,02-6448,2016-11-04,2016-09-20,45
TRU112,02-6448,2016-12-27,2016-11-04,53
TRU112,02-6448,2017-03-01,2016-12-27,64
TRU112,02-6448,2017-03-02,2017-03-01,1
TRU112,02-6448,2017-04-18,2017-03-02,47
TRU112,02-6448,2017-05-01,2017-04-18,13
TRU112,02-6448,2017-05-30,2017-05-01,29
TRU112,02-6448,2017-06-14,2017-05-30,15
TRU112,02-6448,2017-07-17,2017-06-14,33
TRU112,02-6448,2017-08-29,2017-07-17,43
TRU112,02-6448,2017-09-01,2017-08-29,3
TRU112,02-6448,2017-10-10,2017-09-01,39
