CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WAL110,02-6617,2017-06-29,2017-05-30,30
WAL110,02-6617,2017-07-12,2017-06-29,13
WAL110,02-6617,2017-07-25,2017-07-12,13
WAL110,02-6617,2017-08-01,2017-07-25,7
WAL110,02-6617,2017-08-19,2017-08-01,18
WAL110,02-6617,2017-08-22,2017-08-19,3
WAL110,02-6617,2017-09-05,2017-08-22,14
WAL110,02-6617,2017-09-07,2017-09-05,2
WAL110,02-6617,2017-09-13,2017-09-07,6
WAL110,02-6617,2017-09-27,2017-09-13,14
WAL110,02-6617,2017-09-29,2017-09-27,2
WAL110,02-6617,2017-10-04,2017-09-29,5
WAL110,02-6617,2017-10-10,2017-10-04,6
WAL110,02-6617,2017-10-17,2017-10-10,7
WAL110,02-6617,2017-10-24,2017-10-17,7
WAL110,02-6617,2017-10-31,2017-10-24,7
WAL110,02-6617,2017-11-10,2017-10-31,10
WAL110,02-6617,2017-11-13,2017-11-10,3
WAL110,02-6617,2017-11-21,2017-11-13,8
