CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WEL160,02-3871,2017-03-03,2017-02-27,4
WEL160,02-3871,2017-03-10,2017-03-03,7
WEL160,02-3871,2017-04-28,2017-03-10,49
WEL160,02-3871,2017-05-04,2017-04-28,6
WEL160,02-3871,2017-05-10,2017-05-04,6
WEL160,02-3871,2017-05-25,2017-05-10,15
WEL160,02-3871,2017-05-31,2017-05-25,6
WEL160,02-3871,2017-06-05,2017-05-31,5
WEL160,02-3871,2017-06-13,2017-06-05,8
WEL160,02-3871,2017-06-15,2017-06-13,2
WEL160,02-3871,2017-06-21,2017-06-15,6
WEL160,02-3871,2017-06-28,2017-06-21,7
WEL160,02-3871,2017-07-03,2017-06-28,5
WEL160,02-3871,2017-07-11,2017-07-03,8
WEL160,02-3871,2017-07-12,2017-07-11,1
WEL160,02-3871,2017-07-19,2017-07-12,7
WEL160,02-3871,2017-08-01,2017-07-19,13
WEL160,02-3871,2017-08-07,2017-08-01,6
WEL160,02-3871,2017-08-10,2017-08-07,3
WEL160,02-3871,2017-08-16,2017-08-10,6
WEL160,02-3871,2017-08-23,2017-08-16,7
WEL160,02-3871,2017-08-24,2017-08-23,1
WEL160,02-3871,2017-11-01,2017-08-24,69
