CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
XUA100,02-0181,2016-03-31,2016-03-30,1
XUA100,02-0181,2016-06-01,2016-03-31,62
XUA100,02-0181,2016-08-09,2016-06-01,69
XUA100,02-0181,2016-08-13,2016-08-09,4
XUA100,02-0181,2016-09-07,2016-08-13,25
XUA100,02-0181,2016-09-08,2016-09-07,1
XUA100,02-0181,2016-09-12,2016-09-08,4
XUA100,02-0181,2016-09-20,2016-09-12,8
XUA100,02-0181,2016-09-27,2016-09-20,7
XUA100,02-0181,2016-10-12,2016-09-27,15
XUA100,02-0181,2016-10-14,2016-10-12,2
XUA100,02-0181,2016-10-24,2016-10-14,10
XUA100,02-0181,2016-11-28,2016-10-24,35
XUA100,02-0181,2016-12-14,2016-11-28,16
XUA100,02-0181,2016-12-15,2016-12-14,1
XUA100,02-0181,2016-12-16,2016-12-15,1
XUA100,02-0181,2017-01-03,2016-12-16,18
XUA100,02-0181,2017-01-04,2017-01-03,1
