CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ADA132,02-6384,2016-11-23,2016-10-06,48
ADA132,02-6384,2016-11-30,2016-11-23,7
ADA132,02-6384,2016-12-05,2016-11-30,5
ADA132,02-6384,2016-12-20,2016-12-05,15
ADA132,02-6384,2017-01-14,2016-12-20,25
ADA132,02-6384,2017-01-31,2017-01-14,17
ADA132,02-6384,2017-02-01,2017-01-31,1
ADA132,02-6384,2017-02-22,2017-02-01,21
ADA132,02-6384,2017-03-13,2017-02-22,19
ADA132,02-6384,2017-05-15,2017-03-13,63
ADA132,02-6384,2017-05-23,2017-05-15,8
ADA132,02-6384,2017-06-12,2017-05-23,20
ADA132,02-6384,2017-06-19,2017-06-12,7
ADA132,02-6384,2017-06-26,2017-06-19,7
ADA132,02-6384,2017-07-19,2017-06-26,23
ADA132,02-6384,2017-08-21,2017-07-19,33
ADA132,02-6384,2017-10-11,2017-08-21,51
ADA132,02-6384,2017-10-23,2017-10-11,12
ADA132,02-6384,2017-12-07,2017-10-23,45
