CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
APO179,02-3240,2016-03-22,2015-12-23,90
APO179,02-3240,2016-04-12,2016-03-22,21
APO179,02-3240,2016-04-26,2016-04-12,14
APO179,02-3240,2016-06-01,2016-04-26,36
APO179,02-3240,2016-06-28,2016-06-01,27
APO179,02-3240,2016-07-05,2016-06-28,7
APO179,02-3240,2016-07-27,2016-07-05,22
APO179,02-3240,2016-08-03,2016-07-27,7
APO179,02-3240,2016-08-25,2016-08-03,22
APO179,02-3240,2016-08-31,2016-08-25,6
APO179,02-3240,2016-09-21,2016-08-31,21
APO179,02-3240,2016-09-27,2016-09-21,6
APO179,02-3240,2016-10-17,2016-09-27,20
APO179,02-3240,2016-10-28,2016-10-17,11
APO179,02-3240,2016-11-30,2016-10-28,33
APO179,02-3240,2016-12-20,2016-11-30,20
APO179,02-3240,2017-01-24,2016-12-20,35
APO179,02-3240,2017-01-25,2017-01-24,1
APO179,02-3240,2017-03-14,2017-01-25,48
APO179,02-3240,2017-04-28,2017-03-14,45
APO179,02-3240,2017-05-22,2017-04-28,24
APO179,02-3240,2017-05-30,2017-05-22,8
APO179,02-3240,2017-06-28,2017-05-30,29
APO179,02-3240,2017-07-03,2017-06-28,5
APO179,02-3240,2017-07-25,2017-07-03,22
