CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEL152,02-0597,2016-02-29,2016-02-24,5
BEL152,02-0597,2016-03-07,2016-02-29,7
BEL152,02-0597,2016-03-25,2016-03-07,18
BEL152,02-0597,2016-03-30,2016-03-25,5
BEL152,02-0597,2016-04-12,2016-03-30,13
BEL152,02-0597,2016-04-27,2016-04-12,15
BEL152,02-0597,2016-05-18,2016-04-27,21
BEL152,02-0597,2016-06-24,2016-05-18,37
BEL152,02-0597,2016-06-27,2016-06-24,3
BEL152,02-0597,2016-08-04,2016-06-27,38
BEL152,02-0597,2016-08-23,2016-08-04,19
BEL152,02-0597,2016-09-06,2016-08-23,14
BEL152,02-0597,2016-09-13,2016-09-06,7
BEL152,02-0597,2016-09-26,2016-09-13,13
BEL152,02-0597,2016-10-12,2016-09-26,16
BEL152,02-0597,2016-10-20,2016-10-12,8
BEL152,02-0597,2016-11-03,2016-10-20,14
BEL152,02-0597,2016-11-09,2016-11-03,6
BEL152,02-0597,2016-11-10,2016-11-09,1
BEL152,02-0597,2016-11-14,2016-11-10,4
BEL152,02-0597,2016-12-19,2016-11-14,35
BEL152,02-0597,2016-12-20,2016-12-19,1
BEL152,02-0597,2016-12-21,2016-12-20,1
BEL152,02-0597,2017-03-16,2016-12-21,85
BEL152,02-0597,2017-04-14,2017-03-16,29
BEL152,02-0597,2017-05-04,2017-04-14,20
BEL152,02-0597,2017-05-12,2017-05-04,8
BEL152,02-0597,2017-05-30,2017-05-12,18
BEL152,02-0597,2017-06-19,2017-05-30,20
BEL152,02-0597,2017-07-13,2017-06-19,24
BEL152,02-0597,2017-07-20,2017-07-13,7
BEL152,02-0597,2017-07-27,2017-07-20,7
BEL152,02-0597,2017-08-24,2017-07-27,28
BEL152,02-0597,2017-08-25,2017-08-24,1
BEL152,02-0597,2017-09-18,2017-08-25,24
BEL152,02-0597,2017-10-02,2017-09-18,14
BEL152,02-0597,2017-10-05,2017-10-02,3
BEL152,02-0597,2017-10-27,2017-10-05,22
BEL152,02-0597,2017-11-01,2017-10-27,5
BEL152,02-0597,2017-11-02,2017-11-01,1
