CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
COR171,04-1024,2015-07-22,2015-06-26,26
COR171,04-1024,2015-07-30,2015-07-22,8
COR171,04-1024,2015-11-09,2015-07-30,102
COR171,04-1024,2016-01-04,2015-11-09,56
COR171,04-1024,2016-02-15,2016-01-04,42
COR171,04-1024,2016-03-10,2016-02-15,24
COR171,04-1024,2016-05-11,2016-03-10,62
COR171,04-1024,2016-06-13,2016-05-11,33
COR171,04-1024,2016-07-07,2016-06-13,24
COR171,04-1024,2016-08-02,2016-07-07,26
COR171,04-1024,2016-08-31,2016-08-02,29
COR171,04-1024,2016-09-12,2016-08-31,12
COR171,04-1024,2016-10-14,2016-09-12,32
COR171,04-1024,2016-11-11,2016-10-14,28
COR171,04-1024,2016-12-14,2016-11-11,33
COR171,04-1024,2017-01-11,2016-12-14,28
COR171,04-1024,2017-02-08,2017-01-11,28
COR171,04-1024,2017-02-23,2017-02-08,15
COR171,04-1024,2017-03-27,2017-02-23,32
COR171,04-1024,2017-04-07,2017-03-27,11
COR171,04-1024,2017-05-09,2017-04-07,32
COR171,04-1024,2017-06-07,2017-05-09,29
COR171,04-1024,2017-07-05,2017-06-07,28
COR171,04-1024,2017-08-02,2017-07-05,28
COR171,04-1024,2017-09-05,2017-08-02,34
COR171,04-1024,2017-10-02,2017-09-05,27
COR171,04-1024,2017-11-01,2017-10-02,30
COR171,04-1024,2017-12-01,2017-11-01,30
