CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FAM325,02-3188,2016-09-08,2016-07-25,45
FAM325,02-3188,2016-09-09,2016-09-08,1
FAM325,02-3188,2016-09-19,2016-09-09,10
FAM325,02-3188,2016-11-14,2016-09-19,56
FAM325,02-3188,2016-11-28,2016-11-14,14
FAM325,02-3188,2016-12-02,2016-11-28,4
FAM325,02-3188,2016-12-19,2016-12-02,17
FAM325,02-3188,2017-01-04,2016-12-19,16
FAM325,02-3188,2017-01-19,2017-01-04,15
FAM325,02-3188,2017-02-07,2017-01-19,19
FAM325,02-3188,2017-02-17,2017-02-07,10
FAM325,02-3188,2017-03-20,2017-02-17,31
FAM325,02-3188,2017-03-23,2017-03-20,3
FAM325,02-3188,2017-04-21,2017-03-23,29
FAM325,02-3188,2017-06-07,2017-04-21,47
FAM325,02-3188,2017-06-29,2017-06-07,22
FAM325,02-3188,2017-06-30,2017-06-29,1
FAM325,02-3188,2017-09-14,2017-06-30,76
FAM325,02-3188,2017-10-05,2017-09-14,21
FAM325,02-3188,2017-10-13,2017-10-05,8
FAM325,02-3188,2017-11-02,2017-10-13,20
FAM325,02-3188,2017-11-10,2017-11-02,8
FAM325,02-3188,2017-11-21,2017-11-10,11
FAM325,02-3188,2017-11-28,2017-11-21,7
FAM325,02-3188,2017-12-07,2017-11-28,9
