CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GEM111,02-6833,2015-07-09,2015-05-26,44
GEM111,02-6833,2015-08-04,2015-07-09,26
GEM111,02-6833,2015-09-01,2015-08-04,28
GEM111,02-6833,2015-10-01,2015-09-01,30
GEM111,02-6833,2015-11-02,2015-10-01,32
GEM111,02-6833,2015-12-01,2015-11-02,29
GEM111,02-6833,2016-01-07,2015-12-01,37
GEM111,02-6833,2016-02-01,2016-01-07,25
GEM111,02-6833,2016-03-01,2016-02-01,29
GEM111,02-6833,2016-05-16,2016-03-01,76
GEM111,02-6833,2016-07-01,2016-05-16,46
GEM111,02-6833,2016-07-12,2016-07-01,11
GEM111,02-6833,2016-08-08,2016-07-12,27
GEM111,02-6833,2016-09-01,2016-08-08,24
GEM111,02-6833,2016-10-03,2016-09-01,32
GEM111,02-6833,2016-11-03,2016-10-03,31
GEM111,02-6833,2016-12-01,2016-11-03,28
GEM111,02-6833,2017-01-09,2016-12-01,39
GEM111,02-6833,2017-02-03,2017-01-09,25
GEM111,02-6833,2017-03-02,2017-02-03,27
GEM111,02-6833,2017-04-03,2017-03-02,32
GEM111,02-6833,2017-05-01,2017-04-03,28
GEM111,02-6833,2017-06-01,2017-05-01,31
GEM111,02-6833,2017-07-12,2017-06-01,41
GEM111,02-6833,2017-08-10,2017-07-12,29
GEM111,02-6833,2017-09-29,2017-08-10,50
GEM111,02-6833,2017-10-04,2017-09-29,5
GEM111,02-6833,2017-11-10,2017-10-04,37
