CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HIG124,06-3087,2016-12-02,2016-09-22,71
HIG124,06-3087,2016-12-27,2016-12-02,25
HIG124,06-3087,2017-01-03,2016-12-27,7
HIG124,06-3087,2017-01-10,2017-01-03,7
HIG124,06-3087,2017-01-18,2017-01-10,8
HIG124,06-3087,2017-01-23,2017-01-18,5
HIG124,06-3087,2017-02-07,2017-01-23,15
HIG124,06-3087,2017-02-13,2017-02-07,6
HIG124,06-3087,2017-02-16,2017-02-13,3
HIG124,06-3087,2017-02-21,2017-02-16,5
HIG124,06-3087,2017-03-08,2017-02-21,15
HIG124,06-3087,2017-03-11,2017-03-08,3
HIG124,06-3087,2017-03-14,2017-03-11,3
HIG124,06-3087,2017-03-16,2017-03-14,2
HIG124,06-3087,2017-04-11,2017-03-16,26
HIG124,06-3087,2017-04-27,2017-04-11,16
HIG124,06-3087,2017-08-01,2017-04-27,96
HIG124,06-3087,2017-08-11,2017-08-01,10
HIG124,06-3087,2017-08-23,2017-08-11,12
HIG124,06-3087,2017-09-01,2017-08-23,9
HIG124,06-3087,2017-09-19,2017-09-01,18
HIG124,06-3087,2017-09-21,2017-09-19,2
HIG124,06-3087,2017-09-25,2017-09-21,4
HIG124,06-3087,2017-10-02,2017-09-25,7
HIG124,06-3087,2017-10-06,2017-10-02,4
HIG124,06-3087,2017-10-09,2017-10-06,3
HIG124,06-3087,2017-10-19,2017-10-09,10
HIG124,06-3087,2017-10-25,2017-10-19,6
HIG124,06-3087,2017-11-02,2017-10-25,8
HIG124,06-3087,2017-12-04,2017-11-02,32
